Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,elevation,dist_water,dist_forest,dist_village
1,07-09-25,leopard,panchela,Nashik,Maharastra,10yr,Dead,The leopard attacked the boy and dragged him to the maze field.,https://timesofindia.indiatimes.com/city/nashik/10-year-old-killed-in-leopard-attack-in-sinnar/articleshow/123772521.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.959202287242235,73.82879063545505,302,1186,1139,1498
2,05-09-25,leopard,kandrawali,nagina dehat,Uttar pradesh,10yr,Dead,The leopard attacked the girl and dragged her to the sugarcane  field.,"UP Leopard attack | UP: Leopard kills young girl in Bijnor village, dragged to field while fetching milk - Telegraph India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.32968689093656,78.1018755573945,635,1903,190,851
3,27/08/25,leopard,kuthabari,jalpaiguri,West bengal,12yr,Dead,The leopard suddenly pounced and dragged him into a farm,Leopard attack | Leopard mauls 12-year-old schoolboy to death while out in search of calf - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.537601520482117,88.7122011187888,470,1570,252,1687
4,02-09-25,leopard,ramdaswali,bijnor,Uttar pradesh,6yr,Dead,The leopard hiding in sugarcane field atacked him,"Leopard mauls 6yo boy to death, 33rd victim since 2023 in Bijnor | Meerut News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.332462313412385,78.11817547595616,306,2539,980,1931
5,04-09-25,Tiger,pathri,chandrapur,Maharastra,74yr,Dead,The man was wedding in the field when th tiger pounced on him and dragged him away,Tiger mauls farmer to death in Chandrapur | Nagpur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.008374072630644,79.2810102062233,271,613,927,689
6,22/08/25,Tiger,narni,sitapur,Uttar pradesh,24yr,Dead,The man was attacked by the tiger when he went to his feild to fetch podder,"After two deaths in 14 days, Sitapur tiger remains elusive | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.604345541317556,80.65060602505274,220,1341,1184,1698
9,09-08-25,leopard,badade,Nashik,Maharastra,75yr,Dead,The woman was working in a farm when the leopard attacked her,Elderly woman killed in leopard attack in Dindori village | Nashik News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.002615371526215,73.80161343742992,321,1686,1279,379
11,03-08-25,leopard,mainipurva,kheri,Uttar pradesh,77yr,Dead,The women was dragged to sugarcanefield by the leopard,"Leopard enters home, kills 77yo woman; 2nd fatal attack in week | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94489643736502,80.73694145353254,666,748,1346,1568
14,28/07/25,leopard,gaurapipra,bahraich,Gujarat,14yr,Dead,She went to field when a hiding leopard pounced on her,Leopard kills teen girl in Bahraich | Lucknow News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.607240914032165,81.59222459129096,414,2210,127,1952
15,27/07/25,leopard,gyanpur,kheri,Uttar pradesh,6yr,Dead,While he was sleeping in a field with his father and later he was found missing and then found dead from a leopard attack,"Leopard snatches 6yo boy, eats parts of body in Kheri | Bareilly News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.976036079234646,80.75160196847222,530,51,17,956
