Incident-id,Date(dd/mm/yr),Animal,village,District,State,Victim age,Victim outcome,Incident details,Source url,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,lat,lon,Target,dist_forest,dist_water,dist_village,elevation
1,07-09-25,leopard,panchela,Nashik,Maharastra,10yr,Dead,The leopard attacked the boy and dragged him to the maze field.,https://timesofindia.indiatimes.com/city/nashik/10-year-old-killed-in-leopard-attack-in-sinnar/articleshow/123772521.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,549,290,90,656
2,05-09-25,leopard,kandrawali,nagina dehat,Uttar pradesh,10yr,Dead,The leopard attacked the girl and dragged her to the sugarcane  field.,"UP Leopard attack | UP: Leopard kills young girl in Bijnor village, dragged to field while fetching milk - Telegraph India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,358,919,407,464
3,27/08/25,leopard,kuthabari,jalpaiguri,West bengal,12yr,Dead,The leopard suddenly pounced and dragged him into a farm,Leopard attack | Leopard mauls 12-year-old schoolboy to death while out in search of calf - Telegraph India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,594,218,537,469
4,02-09-25,leopard,ramdaswali,bijnor,Uttar pradesh,6yr,Dead,The leopard hiding in sugarcane field atacked him,"Leopard mauls 6yo boy to death, 33rd victim since 2023 in Bijnor | Meerut News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,856,0,443,768
5,04-09-25,Tiger,pathri,chandrapur,Maharastra,74yr,Dead,The man was wedding in the field when th tiger pounced on him and dragged him away,Tiger mauls farmer to death in Chandrapur | Nagpur News - The Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,329,0,499,421
6,22/08/25,Tiger,narni,sitapur,Uttar pradesh,24yr,Dead,The man was attacked by the tiger when he went to his feild to fetch podder,"After two deaths in 14 days, Sitapur tiger remains elusive | Lucknow News - The Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,329,742,148,846
7,17/08/25,leopard,indalpur,barwani,Madhya pradesh,8yr,Dead,The boy was playing with his friends near a farm when the leopard suddenly attacked the boy,"Leopard kills boy, jackal attacks villagers in Barwani | Indore News - Times of India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,873,0,15,464
8,13/08/25,leopard,dornala mandal,parkasam,Andhra pradesh,3yr,injured,"The leopard tried to sank his calws and teeth while the girl was sleeping,her father managd to scare away the animal",Leopard attacks three-year-old girl in Prakasam district | Vijayawada News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,630,1201,600,695
9,09-08-25,leopard,badade,Nashik,Maharastra,75yr,Dead,The woman was working in a farm when the leopard attacked her,Elderly woman killed in leopard attack in Dindori village | Nashik News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,259,0,235,550
10,25/04/25,leopard,vanarawadi,dindori,Maharastra,20yr,Dead,The victim had gone to cut grass from her fram when a leopard attacked her from behind,Elderly woman killed in leopard attack in Dindori village | Nashik News - Times of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,562,1178,249,690
